|id|guid|mid|mod|usn|flds|csum|flags|data|sfld|tags|uuid
20|1599309962974|J{Dk+1D46X|1596992551063|1600432083|7322||1116023131|0||↧ En aquell moment ↧ells/elles/vostès {{c1::van ser::…ser…}} (conscients d'això)| passat_perifrastic indicatiu -er ells/elles/vostès ser |8fcd966d-96e9-4ca4-8d37-94a2b5b7b7f3↧
21|1599309962975|s~M$Km>S2`|1596992551063|1599309962|0||2260485187|0||→ En el futur, →jo {{c1::seré::…ser…}} (conscient d'això)| futur indicatiu -er jo ser |c9b07a40-e422-41a6-bb22-2a78aefbdfdf→
22|1599309962976|D}wsIEW3Sf|1596992551063|1599309962|0||195656119|0||| futur indicatiu -er ser |ffc1ac62-5472-4a61-aea0-641f6f89da83→
23|1599309962977|c9+fgc$6Dr|1596992551063|1599309962|0||3947573422|0||→ En el futur, →ell/ella/vostè {{c1::serà::…ser…}} (conscient d'això)| futur indicatiu -er ell/ella/vostè ser |e01e086f-4e82-4146-af57-c65e58a183cc→
24|1599309962978|w!kDRy}:MM|1596992551063|1599309962|0||723387096|0||→ En el futur, →nosaltres {{c1::serem::…ser…}} (conscients d'això)| futur indicatiu -er nosaltres ser |87491178-016c-41a0-baf2-bc85bb6e0965→
25|1599309962979|N[n4+Q1)p|1596992551063|1599309962|0||2971553024|0||→ En el futur, →vosaltres {{c1::sereu::…ser…}} (conscients d'això)| futur indicatiu -er vosaltres ser |9974262d-792e-4f1f-8c7a-ebf9f7796b16→
26|1599309962980|h_#rvDCE8$|1596992551063|1599309962|0||950165091|0||→ En el futur, →ells/elles/vostès {{c1::seran::…ser…}} (conscients d'això)| futur indicatiu -er ells/elles/vostès ser |1f245028-6d90-4834-8088-a75782fd1bfc→
27|1599309962981|Fw_--,k{Ht|1596992551063|1599309962|0||2230962472|0||… Si passés això, …jo {{c1::seria::…ser…}} (conscient d'això)| condicional indicatiu -er jo ser |e915d922-3966-4dcb-9c4c-c55757534692…
28|1599309962982|yL7TF}7+;[|1596992551063|1599309962|0||1385904557|0||| condicional indicatiu -er ser |e96651d0-8c14-4f76-a472-cbb5b906d334…
29|1599309962983|CZds%G&jnc|1596992551063|1599309962|0||3422719420|0||… Si s'esdevingués alguna cosa, …ell/ella/vostè {{c1::seria::…ser…}} (conscient d'això)| condicional indicatiu -er ell/ella/vostè ser |50b33db7-027e-433d-88bb-c2c27908881a…
30|1599309962984|EV%dn!q/.h|1596992551063|1599309962|0||3761358182|0||… Si passés alguna cosa, …nosaltres {{c1::seríem::…ser…}} (conscients d'això)| condicional indicatiu -er nosaltres ser |69758ddc-80a4-4c10-bf76-b0d8e53f7c29…
31|1599309962985|cNPd17FxlY|1596992551063|1599309962|0||2239325819|0||… Si s'esdevingués això, …vosaltres {{c1::seríeu::…ser…}} (conscients d'això)| condicional indicatiu -er vosaltres ser |f418281d-a949-4977-931b-c5c2902bb242…
32|1599309962986|uU9D9-$W*0|1596992551063|1599309962|0||3635471590|0||… Si es produís això, …ells/elles/vostès {{c1::serien::…ser…}} (conscients d'això)| condicional indicatiu -er ells/elles/vostès ser |7f87ea9f-5974-44f6-93e0-b3871f411ed6…
33|1599309962987|p@(y%tnuza|1596992551063|1599309962|0||2615344586|0||〰 Resulta divertit que 〰jo {{c1::sigui::…ser…}} (conscient d'això)| present subjuntiu -er jo ser |36886ba7-2289-4aae-8dfe-6f3846112480〰
34|1599309962988|hd4{_cpCjq|1596992551063|1599309962|0||3544278292|0||| present subjuntiu -er ser |c08a6816-8f48-469d-b0b4-12323f5b767f〰
35|1599309962989|w!5Wr~BV$]|1596992551063|1599309962|0||4291917438|0||〰 Resulta divertit que 〰ell/ella/vostè {{c1::sigui::…ser…}} (conscient d'això)| present subjuntiu -er ell/ella/vostè ser |fa1db83b-9ae7-4665-8ac2-24fe2f9b9946〰
